Aduana,Patente,Pedimento,Fecha de pago
240,1618,7006031,04/08/2017
240,1618,7006032,04/08/2017
240,1618,7006043,04/08/2017
240,1618,7006046,04/08/2017
240,1618,7006035,07/08/2017
240,1618,7006056,08/08/2017
240,1618,7006057,10/08/2017
240,1618,7006058,10/08/2017
240,1618,7006066,10/08/2017
240,1618,7006070,14/08/2017
240,1618,7006073,14/08/2017
470,3458,7000618,15/08/2017
470,3458,7000635,15/08/2017
240,1618,7006071,17/08/2017
240,1618,7006074,17/08/2017
240,1618,7006077,17/08/2017
240,1618,7006084,17/08/2017
240,1618,7006085,17/08/2017
240,1618,7006086,17/08/2017
470,3458,7000638,18/08/2017
470,3458,7000636,21/08/2017
640,3458,7000244,22/08/2017
240,1618,7006089,23/08/2017
240,1618,7006092,23/08/2017
240,1618,7006093,23/08/2017
640,3458,7000245,23/08/2017
640,3458,7000255,28/08/2017
240,1618,7003935,29/08/2017
240,1618,7003936,29/08/2017
240,1618,7003938,30/08/2017
240,1618,7003997,30/08/2017
240,1618,7004342,30/08/2017
640,3458,7000261,30/08/2017
